Infinitive,Mood,Tense,1s,2s,3s,1p,3p
Absorber,Indicative,Future Perfect,habré absorbido,habrás absorbido,habrá absorbido,habremos absorbido,habrán absorbido
Absorber,Indicative,Conditional Perfect,habría absorbido,habrías absorbido,habría absorbido,habríamos absorbido,habrían absorbido
Absorber,Subjunctive,Present,absorba,absorbas,absorba,absorbamos,absorban
Absorber,Subjunctive,Imperfect,absorbiera,absorbieras,absorbiera,absorbiéramos,absorbieran
Absorber,Subjunctive,Future,absorbiere,absorbieres,absorbiere,absorbiéremos,absorbieren
Absorber,Subjunctive,Present Perfect,haya absorbido,hayas absorbido,haya absorbido,hayamos absorbido,hayan absorbido
Absorber,Subjunctive,Past Perfect,hubiera absorbido,hubieras absorbido,hubiera absorbido,hubiéramos absorbido,hubieran absorbido
Absorber,Subjunctive,Future Perfect,hubiere absorbido,hubieres absorbido,hubiere absorbido,hubiéremos absorbido,hubieren absorbido
Absorber,Imperative,Affirmative,-,absorbe,absorba,absorbamos,absorban
Absorber,Imperative,Negative,-,no absorbas,no absorba,no absorbamos,no absorban
Abundar,Indicative,Present,abundo,abundas,abunda,abundamos,abundan
Abundar,Indicative,Preterite,abundé,abundaste,abundó,abundamos,abundaron
Abundar,Indicative,Imperfect,abundaba,abundabas,abundaba,abundábamos,abundaban
Abundar,Indicative,Present Continuous,estoy abundando,estás abundando,está abundando,estamos abundando,están abundando
Abundar,Indicative,Informal Future,voy a abundar,vas a abundar,va a abundar,vamos a abundar,van a abundar
Abundar,Indicative,Future,abundaré,abundarás,abundará,abundaremos,abundarán
Abundar,Indicative,Conditional,abundaría,abundarías,abundaría,abundaríamos,abundarían
Abundar,Indicative,Present Perfect,he abundado,has abundado,ha abundado,hemos abundado,han abundado
Abundar,Indicative,Past Perfect,había abundado,habías abundado,había abundado,habíamos abundado,habían abundado
Abundar,Indicative,Future Perfect,habré abundado,habrás abundado,habrá abundado,habremos abundado,habrán abundado
Abundar,Indicative,Conditional Perfect,habría abundado,habrías abundado,habría abundado,habríamos abundado,habrían abundado
Abundar,Subjunctive,Present,abunde,abundes,abunde,abundemos,abunden
Abundar,Subjunctive,Imperfect,abundara,abundaras,abundara,abundáramos,abundaran
Abundar,Subjunctive,Future,abundare,abundares,abundare,abundáremos,abundaren
Abundar,Subjunctive,Present Perfect,haya abundado,hayas abundado,haya abundado,hayamos abundado,hayan abundado
Abundar,Subjunctive,Past Perfect,hubiera abundado,hubieras abundado,hubiera abundado,hubiéramos abundado,hubieran abundado
Abundar,Subjunctive,Future Perfect,hubiere abundado,hubieres abundado,hubiere abundado,hubiéremos abundado,hubieren abundado
Abundar,Imperative,Affirmative,-,abunda,abunde,abundemos,abunden
Abundar,Imperative,Negative,-,no abundes,no abunde,no abundemos,no abunden
Aburrir,Indicative,Present,aburro,aburres,aburre,aburrimos,aburren
Aburrir,Indicative,Preterite,aburrí,aburriste,aburrió,aburrimos,aburrieron
Aburrir,Indicative,Imperfect,aburría,aburrías,aburría,aburríamos,aburrían
Aburrir,Indicative,Present Continuous,estoy aburriendo,estás aburriendo,está aburriendo,estamos aburriendo,están aburriendo
Aburrir,Indicative,Informal Future,voy a aburrir,vas a aburrir,va a aburrir,vamos a aburrir,van a aburrir
Aburrir,Indicative,Future,aburriré,aburrirás,aburrirá,aburriremos,aburrirán
Aburrir,Indicative,Conditional,aburriría,aburrirías,aburriría,aburriríamos,aburrirían
Aburrir,Indicative,Present Perfect,he aburrido,has aburrido,ha aburrido,hemos aburrido,han aburrido
Aburrir,Indicative,Past Perfect,había aburrido,habías aburrido,había aburrido,habíamos aburrido,habían aburrido
Aburrir,Indicative,Future Perfect,habré aburrido,habrás aburrido,habrá aburrido,habremos aburrido,habrán aburrido
Aburrir,Indicative,Conditional Perfect,habría aburrido,habrías aburrido,habría aburrido,habríamos aburrido,habrían aburrido
Aburrir,Subjunctive,Present,aburra,aburras,aburra,aburramos,aburran
Aburrir,Subjunctive,Imperfect,aburriera,aburrieras,aburriera,aburriéramos,aburrieran
Aburrir,Subjunctive,Future,aburriere,aburrieres,aburriere,aburriéremos,aburrieren
Aburrir,Subjunctive,Present Perfect,haya aburrido,hayas aburrido,haya aburrido,hayamos aburrido,hayan aburrido
Aburrir,Subjunctive,Past Perfect,hubiera aburrido,hubieras aburrido,hubiera aburrido,hubiéramos aburrido,hubieran aburrido
Aburrir,Subjunctive,Future Perfect,hubiere aburrido,hubieres aburrido,hubiere aburrido,hubiéremos aburrido,hubieren aburrido
Aburrir,Imperative,Affirmative,-,aburre,aburra,aburramos,aburran
Aburrir,Imperative,Negative,-,no aburras,no aburra,no aburramos,no aburran
Aburrirse,Indicative,Present,aburro,aburres,aburre,aburrimos,aburren
Aburrirse,Indicative,Preterite,aburrí,aburriste,aburrió,aburrimos,aburrieron
Aburrirse,Indicative,Imperfect,aburría,aburrías,aburría,aburríamos,aburrían
Aburrirse,Indicative,Present Continuous,estoy aburriéndose,estás aburriéndose,está aburriéndose,estamos aburriéndose,están aburriéndose
Aburrirse,Indicative,Informal Future,voy a aburrirse,vas a aburrirse,va a aburrirse,vamos a aburrirse,van a aburrirse
Aburrirse,Indicative,Future,aburriré,aburrirás,aburrirá,aburriremos,aburrirán
Aburrirse,Indicative,Conditional,aburriría,aburrirías,aburriría,aburriríamos,aburrirían
Aburrirse,Indicative,Present Perfect,he aburrido,has aburrido,ha aburrido,hemos aburrido,han aburrido
Aburrirse,Indicative,Past Perfect,había aburrido,habías aburrido,había aburrido,habíamos aburrido,habían aburrido
Aburrirse,Indicative,Future Perfect,habré aburrido,habrás aburrido,habrá aburrido,habremos aburrido,habrán aburrido
Aburrirse,Indicative,Conditional Perfect,habría aburrido,habrías aburrido,habría aburrido,habríamos aburrido,habrían aburrido
Aburrirse,Subjunctive,Present,aburra,aburras,aburra,aburramos,aburran
Aburrirse,Subjunctive,Imperfect,aburriera,aburrieras,aburriera,aburriéramos,aburrieran
Aburrirse,Subjunctive,Future,aburriere,aburrieres,aburriere,aburriéremos,aburrieren
Aburrirse,Subjunctive,Present Perfect,haya aburrido,hayas aburrido,haya aburrido,hayamos aburrido,hayan aburrido
Aburrirse,Subjunctive,Past Perfect,hubiera aburrido,hubieras aburrido,hubiera aburrido,hubiéramos aburrido,hubieran aburrido
Aburrirse,Subjunctive,Future Perfect,hubiere aburrido,hubieres aburrido,hubiere aburrido,hubiéremos aburrido,hubieren aburrido
Aburrirse,Imperative,Affirmative,-,abúrrete,abúrrase,aburrámonos,abúrranse
Aburrirse,Imperative,Negative,-,no te aburras,no se aburra,no nos aburramos,no se aburran
Abusar,Indicative,Present,abuso,abusas,abusa,abusamos,abusan
Abusar,Indicative,Preterite,abusé,abusaste,abusó,abusamos,abusaron
Abusar,Indicative,Imperfect,abusaba,abusabas,abusaba,abusábamos,abusaban
Abusar,Indicative,Present Continuous,estoy abusando,estás abusando,está abusando,estamos abusando,están abusando
Abusar,Indicative,Informal Future,voy a abusar,vas a abusar,va a abusar,vamos a abusar,van a abusar
Abusar,Indicative,Future,abusaré,abusarás,abusará,abusaremos,abusarán
Abusar,Indicative,Conditional,abusaría,abusarías,abusaría,abusaríamos,abusarían
Abusar,Indicative,Present Perfect,he abusado,has abusado,ha abusado,hemos abusado,han abusado
