Infinitive,Mood,Tense,1s,2s,3s,1p,3p
Actualizarse,Subjunctive,Present Perfect,haya actualizado,hayas actualizado,haya actualizado,hayamos actualizado,hayan actualizado
Actualizarse,Subjunctive,Past Perfect,hubiera actualizado,hubieras actualizado,hubiera actualizado,hubiéramos actualizado,hubieran actualizado
Actualizarse,Subjunctive,Future Perfect,hubiere actualizado,hubieres actualizado,hubiere actualizado,hubiéremos actualizado,hubieren actualizado
Actualizarse,Imperative,Affirmative,-,actualiza,actualice,actualicemos,actualicen
Actualizarse,Imperative,Negative,-,no actualices,no actualice,no actualicemos,no actualicen
Actuar,Indicative,Present,actúo,actúas,actúa,actuamos,actúan
Actuar,Indicative,Preterite,actué,actuaste,actuó,actuamos,actuaron
Actuar,Indicative,Imperfect,actuaba,actuabas,actuaba,actuábamos,actuaban
Actuar,Indicative,Present Continuous,estoy actuando,estás actuando,está actuando,estamos actuando,están actuando
Actuar,Indicative,Informal Future,voy a actuar,vas a actuar,va a actuar,vamos a actuar,van a actuar
Actuar,Indicative,Future,actuaré,actuarás,actuará,actuaremos,actuarán
Actuar,Indicative,Conditional,actuaría,actuarías,actuaría,actuaríamos,actuarían
Actuar,Indicative,Present Perfect,he actuado,has actuado,ha actuado,hemos actuado,han actuado
Actuar,Indicative,Past Perfect,había actuado,habías actuado,había actuado,habíamos actuado,habían actuado
Actuar,Indicative,Future Perfect,habré actuado,habrás actuado,habrá actuado,habremos actuado,habrán actuado
Actuar,Indicative,Conditional Perfect,habría actuado,habrías actuado,habría actuado,habríamos actuado,habrían actuado
Actuar,Subjunctive,Present,actúe,actúes,actúe,actuemos,actúen
Actuar,Subjunctive,Imperfect,actuara,actuaras,actuara,actuáramos,actuaran
Actuar,Subjunctive,Future,actuare,actuares,actuare,actuáremos,actuaren
Actuar,Subjunctive,Present Perfect,haya actuado,hayas actuado,haya actuado,hayamos actuado,hayan actuado
Actuar,Subjunctive,Past Perfect,hubiera actuado,hubieras actuado,hubiera actuado,hubiéramos actuado,hubieran actuado
Actuar,Subjunctive,Future Perfect,hubiere actuado,hubieres actuado,hubiere actuado,hubiéremos actuado,hubieren actuado
Actuar,Imperative,Affirmative,-,actúa,actúe,actuemos,actúen
Actuar,Imperative,Negative,-,no actúes,no actúe,no actuemos,no actúen
Acudir,Indicative,Present,acudo,acudes,acude,acudimos,acuden
Acudir,Indicative,Preterite,acudí,acudiste,acudió,acudimos,acudieron
Acudir,Indicative,Imperfect,acudía,acudías,acudía,acudíamos,acudían
Acudir,Indicative,Present Continuous,estoy acudiendo,estás acudiendo,está acudiendo,estamos acudiendo,están acudiendo
Acudir,Indicative,Informal Future,voy a acudir,vas a acudir,va a acudir,vamos a acudir,van a acudir
Acudir,Indicative,Future,acudiré,acudirás,acudirá,acudiremos,acudirán
Acudir,Indicative,Conditional,acudiría,acudirías,acudiría,acudiríamos,acudirían
Acudir,Indicative,Present Perfect,he acudido,has acudido,ha acudido,hemos acudido,han acudido
Acudir,Indicative,Past Perfect,había acudido,habías acudido,había acudido,habíamos acudido,habían acudido
Acudir,Indicative,Future Perfect,habré acudido,habrás acudido,habrá acudido,habremos acudido,habrán acudido
Acudir,Indicative,Conditional Perfect,habría acudido,habrías acudido,habría acudido,habríamos acudido,habrían acudido
Acudir,Subjunctive,Present,acuda,acudas,acuda,acudamos,acudan
Acudir,Subjunctive,Imperfect,acudiera,acudieras,acudiera,acudiéramos,acudieran
Acudir,Subjunctive,Future,acudiere,acudieres,acudiere,acudiéremos,acudieren
Acudir,Subjunctive,Present Perfect,haya acudido,hayas acudido,haya acudido,hayamos acudido,hayan acudido
Acudir,Subjunctive,Past Perfect,hubiera acudido,hubieras acudido,hubiera acudido,hubiéramos acudido,hubieran acudido
Acudir,Subjunctive,Future Perfect,hubiere acudido,hubieres acudido,hubiere acudido,hubiéremos acudido,hubieren acudido
Acudir,Imperative,Affirmative,-,acude,acuda,acudamos,acudan
Acudir,Imperative,Negative,-,no acudas,no acuda,no acudamos,no acudan
Acumular,Indicative,Present,acumulo,acumulas,acumula,acumulamos,acumulan
Acumular,Indicative,Preterite,acumulé,acumulaste,acumuló,acumulamos,acumularon
Acumular,Indicative,Imperfect,acumulaba,acumulabas,acumulaba,acumulábamos,acumulaban
Acumular,Indicative,Present Continuous,estoy acumulando,estás acumulando,está acumulando,estamos acumulando,están acumulando
Acumular,Indicative,Informal Future,voy a acumular,vas a acumular,va a acumular,vamos a acumular,van a acumular
Acumular,Indicative,Future,acumularé,acumularás,acumulará,acumularemos,acumularán
Acumular,Indicative,Conditional,acumularía,acumularías,acumularía,acumularíamos,acumularían
Acumular,Indicative,Present Perfect,he acumulado,has acumulado,ha acumulado,hemos acumulado,han acumulado
Acumular,Indicative,Past Perfect,había acumulado,habías acumulado,había acumulado,habíamos acumulado,habían acumulado
Acumular,Indicative,Future Perfect,habré acumulado,habrás acumulado,habrá acumulado,habremos acumulado,habrán acumulado
Acumular,Indicative,Conditional Perfect,habría acumulado,habrías acumulado,habría acumulado,habríamos acumulado,habrían acumulado
Acumular,Subjunctive,Present,acumule,acumules,acumule,acumulemos,acumulen
Acumular,Subjunctive,Imperfect,acumulara,acumularas,acumulara,acumuláramos,acumularan
Acumular,Subjunctive,Future,acumulare,acumulares,acumulare,acumuláremos,acumularen
Acumular,Subjunctive,Present Perfect,haya acumulado,hayas acumulado,haya acumulado,hayamos acumulado,hayan acumulado
Acumular,Subjunctive,Past Perfect,hubiera acumulado,hubieras acumulado,hubiera acumulado,hubiéramos acumulado,hubieran acumulado
Acumular,Subjunctive,Future Perfect,hubiere acumulado,hubieres acumulado,hubiere acumulado,hubiéremos acumulado,hubieren acumulado
Acumular,Imperative,Affirmative,-,acumula,acumule,acumulemos,acumulen
Acumular,Imperative,Negative,-,no acumules,no acumule,no acumulemos,no acumulen
Acusar,Indicative,Present,acuso,acusas,acusa,acusamos,acusan
Acusar,Indicative,Preterite,acusé,acusaste,acusó,acusamos,acusaron
Acusar,Indicative,Imperfect,acusaba,acusabas,acusaba,acusábamos,acusaban
Acusar,Indicative,Present Continuous,estoy acusando,estás acusando,está acusando,estamos acusando,están acusando
Acusar,Indicative,Informal Future,voy a acusar,vas a acusar,va a acusar,vamos a acusar,van a acusar
Acusar,Indicative,Future,acusaré,acusarás,acusará,acusaremos,acusarán
Acusar,Indicative,Conditional,acusaría,acusarías,acusaría,acusaríamos,acusarían
Acusar,Indicative,Present Perfect,he acusado,has acusado,ha acusado,hemos acusado,han acusado
Acusar,Indicative,Past Perfect,había acusado,habías acusado,había acusado,habíamos acusado,habían acusado
Acusar,Indicative,Future Perfect,habré acusado,habrás acusado,habrá acusado,habremos acusado,habrán acusado
Acusar,Indicative,Conditional Perfect,habría acusado,habrías acusado,habría acusado,habríamos acusado,habrían acusado
Acusar,Subjunctive,Present,acuse,acuses,acuse,acusemos,acusen
Acusar,Subjunctive,Imperfect,acusara,acusaras,acusara,acusáramos,acusaran
Acusar,Subjunctive,Future,acusare,acusares,acusare,acusáremos,acusaren
Acusar,Subjunctive,Present Perfect,haya acusado,hayas acusado,haya acusado,hayamos acusado,hayan acusado
Acusar,Subjunctive,Past Perfect,hubiera acusado,hubieras acusado,hubiera acusado,hubiéramos acusado,hubieran acusado
Acusar,Subjunctive,Future Perfect,hubiere acusado,hubieres acusado,hubiere acusado,hubiéremos acusado,hubieren acusado
Acusar,Imperative,Affirmative,-,acusa,acuse,acusemos,acusen
Acusar,Imperative,Negative,-,no acuses,no acuse,no acusemos,no acusen
Adaptar,Indicative,Present,adapto,adaptas,adapta,adaptamos,adaptan
Adaptar,Indicative,Preterite,adapté,adaptaste,adaptó,adaptamos,adaptaron
Adaptar,Indicative,Imperfect,adaptaba,adaptabas,adaptaba,adaptábamos,adaptaban
Adaptar,Indicative,Present Continuous,estoy adaptando,estás adaptando,está adaptando,estamos adaptando,están adaptando
Adaptar,Indicative,Informal Future,voy a adaptar,vas a adaptar,va a adaptar,vamos a adaptar,van a adaptar
Adaptar,Indicative,Future,adaptaré,adaptarás,adaptará,adaptaremos,adaptarán
Adaptar,Indicative,Conditional,adaptaría,adaptarías,adaptaría,adaptaríamos,adaptarían
Adaptar,Indicative,Present Perfect,he adaptado,has adaptado,ha adaptado,hemos adaptado,han adaptado
Adaptar,Indicative,Past Perfect,había adaptado,habías adaptado,había adaptado,habíamos adaptado,habían adaptado
Adaptar,Indicative,Future Perfect,habré adaptado,habrás adaptado,habrá adaptado,habremos adaptado,habrán adaptado
Adaptar,Indicative,Conditional Perfect,habría adaptado,habrías adaptado,habría adaptado,habríamos adaptado,habrían adaptado
Adaptar,Subjunctive,Present,adapte,adaptes,adapte,adaptemos,adapten
Adaptar,Subjunctive,Imperfect,adaptara,adaptaras,adaptara,adaptáramos,adaptaran
Adaptar,Subjunctive,Future,adaptare,adaptares,adaptare,adaptáremos,adaptaren
Adaptar,Subjunctive,Present Perfect,haya adaptado,hayas adaptado,haya adaptado,hayamos adaptado,hayan adaptado
Adaptar,Subjunctive,Past Perfect,hubiera adaptado,hubieras adaptado,hubiera adaptado,hubiéramos adaptado,hubieran adaptado
Adaptar,Subjunctive,Future Perfect,hubiere adaptado,hubieres adaptado,hubiere adaptado,hubiéremos adaptado,hubieren adaptado
Adaptar,Imperative,Affirmative,-,adapta,adapte,adaptemos,adapten
Adaptar,Imperative,Negative,-,no adaptes,no adapte,no adaptemos,no adapten
Adelantar,Indicative,Present,adelanto,adelantas,adelanta,adelantamos,adelantan
Adelantar,Indicative,Preterite,adelanté,adelantaste,adelantó,adelantamos,adelantaron
Adelantar,Indicative,Imperfect,adelantaba,adelantabas,adelantaba,adelantábamos,adelantaban
Adelantar,Indicative,Present Continuous,estoy adelantando,estás adelantando,está adelantando,estamos adelantando,están adelantando
Adelantar,Indicative,Informal Future,voy a adelantar,vas a adelantar,va a adelantar,vamos a adelantar,van a adelantar
Adelantar,Indicative,Future,adelantaré,adelantarás,adelantará,adelantaremos,adelantarán
Adelantar,Indicative,Conditional,adelantaría,adelantarías,adelantaría,adelantaríamos,adelantarían
Adelantar,Indicative,Present Perfect,he adelantado,has adelantado,ha adelantado,hemos adelantado,han adelantado
Adelantar,Indicative,Past Perfect,había adelantado,habías adelantado,había adelantado,habíamos adelantado,habían adelantado
Adelantar,Indicative,Future Perfect,habré adelantado,habrás adelantado,habrá adelantado,habremos adelantado,habrán adelantado
Adelantar,Indicative,Conditional Perfect,habría adelantado,habrías adelantado,habría adelantado,habríamos adelantado,habrían adelantado
Adelantar,Subjunctive,Present,adelante,adelantes,adelante,adelantemos,adelanten
Adelantar,Subjunctive,Imperfect,adelantara,adelantaras,adelantara,adelantáramos,adelantaran
Adelantar,Subjunctive,Future,adelantare,adelantares,adelantare,adelantáremos,adelantaren
Adelantar,Subjunctive,Present Perfect,haya adelantado,hayas adelantado,haya adelantado,hayamos adelantado,hayan adelantado
Adelantar,Subjunctive,Past Perfect,hubiera adelantado,hubieras adelantado,hubiera adelantado,hubiéramos adelantado,hubieran adelantado
Adelantar,Subjunctive,Future Perfect,hubiere adelantado,hubieres adelantado,hubiere adelantado,hubiéremos adelantado,hubieren adelantado
Adelantar,Imperative,Affirmative,-,adelanta,adelante,adelantemos,adelanten
Adelantar,Imperative,Negative,-,no adelantes,no adelante,no adelantemos,no adelanten
Adelgazar,Indicative,Present,adelgazo,adelgazas,adelgaza,adelgazamos,adelgazan
Adelgazar,Indicative,Preterite,adelgacé,adelgazaste,adelgazó,adelgazamos,adelgazaron
Adelgazar,Indicative,Imperfect,adelgazaba,adelgazabas,adelgazaba,adelgazábamos,adelgazaban
Adelgazar,Indicative,Present Continuous,estoy adelgazando,estás adelgazando,está adelgazando,estamos adelgazando,están adelgazando
Adelgazar,Indicative,Informal Future,voy a adelgazar,vas a adelgazar,va a adelgazar,vamos a adelgazar,van a adelgazar
Adelgazar,Indicative,Future,adelgazaré,adelgazarás,adelgazará,adelgazaremos,adelgazarán
Adelgazar,Indicative,Conditional,adelgazía,adelgazarías,adelgazía,adelgazaríamos,adelgazarían
Adelgazar,Indicative,Present Perfect,he adelgazado,has adelgazado,ha adelgazado,hemos adelgazado,han adelgazado
Adelgazar,Indicative,Past Perfect,había adelgazado,habías adelgazado,había adelgazado,habíamos adelgazado,habían adelgazado
Adelgazar,Indicative,Future Perfect,habré adelgazado,habrás adelgazado,habrá adelgazado,habremos adelgazado,habrán adelgazado
Adelgazar,Indicative,Conditional Perfect,habría adelgazado,habrías adelgazado,habría adelgazado,habríamos adelgazado,habrían adelgazado
Adelgazar,Subjunctive,Present,adelgace,adelgaces,adelgace,adelgacemos,adelgacen
Adelgazar,Subjunctive,Imperfect,adelgazara,adelgazaras,adelgazara,adelgazáramos,adelgazaran
Adelgazar,Subjunctive,Future,adelgazare,adelgazares,adelgazare,adelgazáremos,adelgazaren
Adelgazar,Subjunctive,Present Perfect,haya adelgazado,hayas adelgazado,haya adelgazado,hayamos adelgazado,hayan adelgazado
Adelgazar,Subjunctive,Past Perfect,hubiera adelgazado,hubieras adelgazado,hubiera adelgazado,hubiéramos adelgazado,hubieran adelgazado
Adelgazar,Subjunctive,Future Perfect,hubiere adelgazado,hubieres adelgazado,hubiere adelgazado,hubiéremos adelgazado,hubieren adelgazado
Adelgazar,Imperative,Affirmative,-,adelgaza,adelgace,adelgacemos,adelgacen
Adelgazar,Imperative,Negative,-,no adelgaces,no adelgace,no adelgacemos,no adelgacen
Admirar,Indicative,Present,admiro,admiras,admira,admiramos,admiran
Admirar,Indicative,Preterite,admiré,admiraste,admiró,admiramos,admiraron
Admirar,Indicative,Imperfect,admiraba,admirabas,admiraba,admirábamos,admiraban
Admirar,Indicative,Present Continuous,estoy admirando,estás admirando,está admirando,estamos admirando,están admirando
Admirar,Indicative,Informal Future,voy a admirar,vas a admirar,va a admirar,vamos a admirar,van a admirar
Admirar,Indicative,Future,admiraré,admirarás,admirará,admiraremos,admirarán
Admirar,Indicative,Conditional,admiraría,admirarías,admiraría,admiraríamos,admirarían
Admirar,Indicative,Present Perfect,he admirado,has admirado,ha admirado,hemos admirado,han admirado
Admirar,Indicative,Past Perfect,había admirado,habías admirado,había admirado,habíamos admirado,habían admirado
Admirar,Indicative,Future Perfect,habré admirado,habrás admirado,habrá admirado,habremos admirado,habrán admirado
Admirar,Indicative,Conditional Perfect,habría admirado,habrías admirado,habría admirado,habríamos admirado,habrían admirado
Admirar,Subjunctive,Present,admire,admires,admire,admiremos,admiren
Admirar,Subjunctive,Imperfect,admirara,admiraras,admirara,admiráramos,admiraran
Admirar,Subjunctive,Future,admirare,admirares,admirare,admiráremos,admiraren
Admirar,Subjunctive,Present Perfect,haya admirado,hayas admirado,haya admirado,hayamos admirado,hayan admirado
Admirar,Subjunctive,Past Perfect,hubiera admirado,hubieras admirado,hubiera admirado,hubiéramos admirado,hubieran admirado
Admirar,Subjunctive,Future Perfect,hubiere admirado,hubieres admirado,hubiere admirado,hubiéremos admirado,hubieren admirado
Admirar,Imperative,Affirmative,-,admira,admire,admiremos,admiren
Admirar,Imperative,Negative,-,no admires,no admire,no admiremos,no admiren
Admitir,Indicative,Present,admito,admites,admite,admitimos,admiten
Admitir,Indicative,Preterite,admití,admitiste,admitió,admitimos,admitieron
Admitir,Indicative,Imperfect,admitía,admitías,admitía,admitíamos,admitían
Admitir,Indicative,Present Continuous,estoy admitiendo,estás admitiendo,está admitiendo,estamos admitiendo,están admitiendo
Admitir,Indicative,Informal Future,voy a admitir,vas a admitir,va a admitir,vamos a admitir,van a admitir
Admitir,Indicative,Future,admitiré,admitirás,admitirá,admitiremos,admitirán
Admitir,Indicative,Conditional,admitiría,admitirías,admitiría,admitiríamos,admitirían
Admitir,Indicative,Present Perfect,he admitido,has admitido,ha admitido,hemos admitido,han admitido
Admitir,Indicative,Past Perfect,había admitido,habías admitido,había admitido,habíamos admitido,habían admitido
Admitir,Indicative,Future Perfect,habré admitido,habrás admitido,habrá admitido,habremos admitido,habrán admitido
Admitir,Indicative,Conditional Perfect,habría admitido,habrías admitido,habría admitido,habríamos admitido,habrían admitido
Admitir,Subjunctive,Present,admita,admitas,admita,admitamos,admitan
Admitir,Subjunctive,Imperfect,admitiera,admitieras,admitiera,admitiéramos,admitieran
Admitir,Subjunctive,Future,admitiere,admitieres,admitiere,admitiéremos,admitieren
Admitir,Subjunctive,Present Perfect,haya admitido,hayas admitido,haya admitido,hayamos admitido,hayan admitido
Admitir,Subjunctive,Past Perfect,hubiera admitido,hubieras admitido,hubiera admitido,hubiéramos admitido,hubieran admitido
Admitir,Subjunctive,Future Perfect,hubiere admitido,hubieres admitido,hubiere admitido,hubiéremos admitido,hubieren admitido
Admitir,Imperative,Affirmative,-,admite,admita,admitamos,admitan
Admitir,Imperative,Negative,-,no admitas,no admita,no admitamos,no admitan
Adoptar,Indicative,Present,adopto,adoptas,adopta,adoptamos,adoptan
Adoptar,Indicative,Preterite,adopté,adoptaste,adoptó,adoptamos,adoptaron
Adoptar,Indicative,Imperfect,adoptaba,adoptabas,adoptaba,adoptábamos,adoptaban
Adoptar,Indicative,Present Continuous,estoy adoptando,estás adoptando,está adoptando,estamos adoptando,están adoptando
Adoptar,Indicative,Informal Future,voy a adoptar,vas a adoptar,va a adoptar,vamos a adoptar,van a adoptar
Adoptar,Indicative,Future,adoptaré,adoptarás,adoptará,adoptaremos,adoptarán
Adoptar,Indicative,Conditional,adoptaría,adoptarías,adoptaría,adoptaríamos,adoptarían
Adoptar,Indicative,Present Perfect,he adoptado,has adoptado,ha adoptado,hemos adoptado,han adoptado
Adoptar,Indicative,Past Perfect,había adoptado,habías adoptado,había adoptado,habíamos adoptado,habían adoptado
Adoptar,Indicative,Future Perfect,habré adoptado,habrás adoptado,habrá adoptado,habremos adoptado,habrán adoptado
Adoptar,Indicative,Conditional Perfect,habría adoptado,habrías adoptado,habría adoptado,habríamos adoptado,habrían adoptado
Adoptar,Subjunctive,Present,adopte,adoptes,adopte,adoptemos,adopten
Adoptar,Subjunctive,Imperfect,adoptara,adoptaras,adoptara,adoptáramos,adoptaran
Adoptar,Subjunctive,Future,adoptare,adoptares,adoptare,adoptáremos,adoptaren
Adoptar,Subjunctive,Present Perfect,haya adoptado,hayas adoptado,haya adoptado,hayamos adoptado,hayan adoptado
Adoptar,Subjunctive,Past Perfect,hubiera adoptado,hubieras adoptado,hubiera adoptado,hubiéramos adoptado,hubieran adoptado
Adoptar,Subjunctive,Future Perfect,hubiere adoptado,hubieres adoptado,hubiere adoptado,hubiéremos adoptado,hubieren adoptado
Adoptar,Imperative,Affirmative,-,adopta,adopte,adoptemos,adopten
Adoptar,Imperative,Negative,-,no adoptes,no adopte,no adoptemos,no adopten
Adquirir,Indicative,Present,adquiero,adquieres,adquiere,adquirimos,adquieren
Adquirir,Indicative,Preterite,adquirí,adquiriste,adquirió,adquirimos,adquirieron
Adquirir,Indicative,Imperfect,adquiría,adquirías,adquiría,adquiríamos,adquirían
Adquirir,Indicative,Present Continuous,estoy adquiriendo,estás adquiriendo,está adquiriendo,estamos adquiriendo,están adquiriendo
Adquirir,Indicative,Informal Future,voy a adquirir,vas a adquirir,va a adquirir,vamos a adquirir,van a adquirir
Adquirir,Indicative,Future,adquiriré,adquirirás,adquirirá,adquiriremos,adquirirán
Adquirir,Indicative,Conditional,adquiriría,adquirirías,adquiriría,adquiriríamos,adquirirían
Adquirir,Indicative,Present Perfect,he adquirido,has adquirido,ha adquirido,hemos adquirido,han adquirido
Adquirir,Indicative,Past Perfect,había adquirido,habías adquirido,había adquirido,habíamos adquirido,habían adquirido
Adquirir,Indicative,Future Perfect,habré adquirido,habrás adquirido,habrá adquirido,habremos adquirido,habrán adquirido
Adquirir,Indicative,Conditional Perfect,habría adquirido,habrías adquirido,habría adquirido,habríamos adquirido,habrían adquirido
Adquirir,Subjunctive,Present,adquiera,adquieras,adquiera,adquiramos,adquieran
Adquirir,Subjunctive,Imperfect,adquiriera,adquirieras,adquiriera,adquiriéramos,adquirieran
Adquirir,Subjunctive,Future,adquiriere,adquirieres,adquiriere,adquiriéremos,adquirieren
Adquirir,Subjunctive,Present Perfect,haya adquirido,hayas adquirido,haya adquirido,hayamos adquirido,hayan adquirido
Adquirir,Subjunctive,Past Perfect,hubiera adquirido,hubieras adquirido,hubiera adquirido,hubiéramos adquirido,hubieran adquirido
Adquirir,Subjunctive,Future Perfect,hubiere adquirido,hubieres adquirido,hubiere adquirido,hubiéremos adquirido,hubieren adquirido
Adquirir,Imperative,Affirmative,-,adquiere,adquiera,adquiramos,adquieran
Adquirir,Imperative,Negative,-,no adquieras,no adquiera,no adquiramos,no adquieran
Advertir,Indicative,Present,advierto,adviertes,advierte,advertimos,advierten
Advertir,Indicative,Preterite,advertí,advertiste,advirtió,advertimos,advirtieron
Advertir,Indicative,Imperfect,advertía,advertías,advertía,advertíamos,advertían
Advertir,Indicative,Present Continuous,estoy advirtiendo,estás advirtiendo,está advirtiendo,estamos advirtiendo,están advirtiendo
Advertir,Indicative,Informal Future,voy a advertir,vas a advertir,va a advertir,vamos a advertir,van a advertir
Advertir,Indicative,Future,advertiré,advertirás,advertirá,advertiremos,advertirán
Advertir,Indicative,Conditional,advertiría,advertirías,advertiría,advertiríamos,advertirían
Advertir,Indicative,Present Perfect,he advertido,has advertido,ha advertido,hemos advertido,han advertido
Advertir,Indicative,Past Perfect,había advertido,habías advertido,había advertido,habíamos advertido,habían advertido
Advertir,Indicative,Future Perfect,habré advertido,habrás advertido,habrá advertido,habremos advertido,habrán advertido
Advertir,Indicative,Conditional Perfect,habría advertido,habrías advertido,habría advertido,habríamos advertido,habrían advertido
Advertir,Subjunctive,Present,advierta,adviertas,advierta,advirtamos,adviertan
Advertir,Subjunctive,Imperfect,advirtiera,advirtieras,advirtiera,advirtiéramos,advirtieran
Advertir,Subjunctive,Future,advirtiere,advirtieres,advirtiere,advirtiéremos,advirtieren
Advertir,Subjunctive,Present Perfect,haya advertido,hayas advertido,haya advertido,hayamos advertido,hayan advertido
Advertir,Subjunctive,Past Perfect,hubiera advertido,hubieras advertido,hubiera advertido,hubiéramos advertido,hubieran advertido
Advertir,Subjunctive,Future Perfect,hubiere advertido,hubieres advertido,hubiere advertido,hubiéremos advertido,hubieren advertido
Advertir,Imperative,Affirmative,-,advierte,advierta,advirtamos,adviertan
Advertir,Imperative,Negative,-,no adviertas,no advierta,no advirtamos,no adviertan
Afirmar,Indicative,Present,afirmo,afirmas,afirma,afirmamos,afirman
Afirmar,Indicative,Preterite,afirmé,afirmaste,afirmó,afirmamos,afirmaron
Afirmar,Indicative,Imperfect,afirmaba,afirmabas,afirmaba,afirmábamos,afirmaban
Afirmar,Indicative,Present Continuous,estoy afirmando,estás afirmando,está afirmando,estamos afirmando,están afirmando
Afirmar,Indicative,Informal Future,voy a afirmar,vas a afirmar,va a afirmar,vamos a afirmar,van a afirmar
Afirmar,Indicative,Future,afirmaré,afirmarás,afirmará,afirmaremos,afirmarán
Afirmar,Indicative,Conditional,afirmaría,afirmarías,afirmaría,afirmaríamos,afirmarían
Afirmar,Indicative,Present Perfect,he afirmado,has afirmado,ha afirmado,hemos afirmado,han afirmado
Afirmar,Indicative,Past Perfect,había afirmado,habías afirmado,había afirmado,habíamos afirmado,habían afirmado
Afirmar,Indicative,Future Perfect,habré afirmado,habrás afirmado,habrá afirmado,habremos afirmado,habrán afirmado
Afirmar,Indicative,Conditional Perfect,habría afirmado,habrías afirmado,habría afirmado,habríamos afirmado,habrían afirmado
Afirmar,Subjunctive,Present,afirme,afirmes,afirme,afirmemos,afirmen
Afirmar,Subjunctive,Imperfect,afirmara,afirmaras,afirmara,afirmáramos,afirmaran
Afirmar,Subjunctive,Future,afirmare,afirmares,afirmare,afirmáremos,afirmaren
Afirmar,Subjunctive,Present Perfect,haya afirmado,hayas afirmado,haya afirmado,hayamos afirmado,hayan afirmado
Afirmar,Subjunctive,Past Perfect,hubiera afirmado,hubieras afirmado,hubiera afirmado,hubiéramos afirmado,hubieran afirmado
Afirmar,Subjunctive,Future Perfect,hubiere afirmado,hubieres afirmado,hubiere afirmado,hubiéremos afirmado,hubieren afirmado
Afirmar,Imperative,Affirmative,-,afirma,afirme,afirmemos,afirmen
Afirmar,Imperative,Negative,-,no afirmes,no afirme,no afirmemos,no afirmen
Agradecer,Indicative,Present,agradezco,agradeces,agradece,agradecemos,agradecen
Agradecer,Indicative,Preterite,agradecí,agradeciste,agradeció,agradecimos,agradecieron
Agradecer,Indicative,Imperfect,agradecía,agradecías,agradecía,agradecíamos,agradecían
Agradecer,Indicative,Present Continuous,estoy agradeciendo,estás agradeciendo,está agradeciendo,estamos agradeciendo,están agradeciendo
Agradecer,Indicative,Informal Future,voy a agradecer,vas a agradecer,va a agradecer,vamos a agradecer,van a agradecer
Agradecer,Indicative,Future,agradeceré,agradecerás,agradecerá,agradeceremos,agradecerán
Agradecer,Indicative,Conditional,agradecería,agradecerías,agradecería,agradeceríamos,agradecerían
Agradecer,Indicative,Present Perfect,he agradecido,has agradecido,ha agradecido,hemos agradecido,han agradecido
Agradecer,Indicative,Past Perfect,había agradecido,habías agradecido,había agradecido,habíamos agradecido,habían agradecido
Agradecer,Indicative,Future Perfect,habré agradecido,habrás agradecido,habrá agradecido,habremos agradecido,habrán agradecido
Agradecer,Indicative,Conditional Perfect,habría agradecido,habrías agradecido,habría agradecido,habríamos agradecido,habrían agradecido
Agradecer,Subjunctive,Present,agradezca,agradezcas,agradezca,agradezcamos,agradezcan
Agradecer,Subjunctive,Imperfect,agradeciera,agradecieras,agradeciera,agradeciéramos,agradecieran
Agradecer,Subjunctive,Future,agradeciere,agradecieres,agradeciere,agradeciéremos,agradecieren
Agradecer,Subjunctive,Present Perfect,haya agradecido,hayas agradecido,haya agradecido,hayamos agradecido,hayan agradecido
Agradecer,Subjunctive,Past Perfect,hubiera agradecido,hubieras agradecido,hubiera agradecido,hubiéramos agradecido,hubieran agradecido
Agradecer,Subjunctive,Future Perfect,hubiere agradecido,hubieres agradecido,hubiere agradecido,hubiéremos agradecido,hubieren agradecido
Agradecer,Imperative,Affirmative,-,agradece,agradezca,agradezcamos,agradezcan
Agradecer,Imperative,Negative,-,no agradezcas,no agradezca,no agradezcamos,no agradezcan
Aguantar,Indicative,Present,aguanto,aguantas,aguanta,aguantamos,aguantan
Aguantar,Indicative,Preterite,aguanté,aguantaste,aguantó,aguantamos,aguantaron
Aguantar,Indicative,Imperfect,aguantaba,aguantabas,aguantaba,aguantábamos,aguantaban
Aguantar,Indicative,Present Continuous,estoy aguantando,estás aguantando,está aguantando,estamos aguantando,están aguantando
Aguantar,Indicative,Informal Future,voy a aguantar,vas a aguantar,va a aguantar,vamos a aguantar,van a aguantar
Aguantar,Indicative,Future,aguantaré,aguantarás,aguantará,aguantaremos,aguantarán
Aguantar,Indicative,Conditional,aguantaría,aguantarías,aguantaría,aguantaríamos,aguantarían
Aguantar,Indicative,Present Perfect,he aguantado,has aguantado,ha aguantado,hemos aguantado,han aguantado
Aguantar,Indicative,Past Perfect,había aguantado,habías aguantado,había aguantado,habíamos aguantado,habían aguantado
Aguantar,Indicative,Future Perfect,habré aguantado,habrás aguantado,habrá aguantado,habremos aguantado,habrán aguantado
Aguantar,Indicative,Conditional Perfect,habría aguantado,habrías aguantado,habría aguantado,habríamos aguantado,habrían aguantado
Aguantar,Subjunctive,Present,aguante,aguantes,aguante,aguantemos,aguanten
Aguantar,Subjunctive,Imperfect,aguantara,aguantaras,aguantara,aguantáramos,aguantaran
Aguantar,Subjunctive,Future,aguantare,aguantares,aguantare,aguantáremos,aguantaren
Aguantar,Subjunctive,Present Perfect,haya aguantado,hayas aguantado,haya aguantado,hayamos aguantado,hayan aguantado
